grammar,L,k,coverage,seed,corpus_max_len,accepted_count,retained_count,num_learned_classes,oracle_num_classes,ARI_vs_oracle,NMI_vs_oracle,pairwise_precision_vs_oracle,pairwise_recall_vs_oracle,matches_oracle,partition_hash
transitive,6,0,0.200000,2,10,10,2,2,2,0.333246,0.294245,0.999714,1.000000,0,553eea027984ff21
transitive,6,1,0.200000,2,10,10,2,5,5,0.374814,0.335229,0.999286,1.000000,0,c0b979aff77a56b5
transitive,6,2,0.200000,2,10,10,2,11,10,0.444147,0.398482,0.998928,1.000000,0,879ed74e71db2080
transitive,6,3,0.200000,2,10,10,2,16,12,0.522740,0.479248,0.998893,1.000000,0,24907a3c6083e622
transitive,6,4,0.200000,2,10,10,2,20,13,0.591212,0.553031,0.998964,1.000000,0,e3e68231a39928f6
transitive,6,0,0.200000,3,10,10,2,2,2,0.333246,0.294245,0.999714,1.000000,0,b7d870103e410bf1
transitive,6,1,0.200000,3,10,10,2,5,5,0.374815,0.338438,0.999286,1.000000,0,9c782794fb2aa703
transitive,6,2,0.200000,3,10,10,2,10,10,0.444150,0.409889,0.998928,1.000000,0,22f18c0b73fe6818
transitive,6,3,0.200000,3,10,10,2,13,12,0.475855,0.444585,0.998821,1.000000,0,b3243b01a3275afc
transitive,6,4,0.200000,3,10,10,2,15,13,0.507115,0.478719,0.998821,1.000000,0,b027d5dc016dee73
transitive,6,0,0.400000,1,10,10,4,2,2,0.571324,0.512044,0.999786,1.000000,0,132f993ebbcc08a1
transitive,6,1,0.400000,1,10,10,4,5,5,0.631387,0.578705,0.999500,1.000000,0,c853d2ef1256a433
transitive,6,2,0.400000,1,10,10,4,11,10,0.707438,0.658575,0.999321,1.000000,0,e2a94f4a0f50ffd2
transitive,6,3,0.400000,1,10,10,4,15,12,0.752990,0.709962,0.999321,1.000000,0,51fa94a33422134c
transitive,6,4,0.400000,1,10,10,4,18,13,0.780242,0.741477,0.999357,1.000000,0,b2c7bd86fdba1527
transitive,6,0,0.400000,2,10,10,4,2,2,0.571324,0.512044,0.999786,1.000000,0,6d8222472a1a2a61
transitive,6,1,0.400000,2,10,10,4,6,5,0.631386,0.575857,0.999500,1.000000,0,1365f7b084934261
transitive,6,2,0.400000,2,10,10,4,14,10,0.727028,0.673987,0.999357,1.000000,0,64dd270513c2aca3
transitive,6,3,0.400000,2,10,10,4,19,12,0.768984,0.720263,0.999357,1.000000,0,c9d6f578b8285125
transitive,6,4,0.400000,2,10,10,4,22,13,0.794945,0.750476,0.999392,1.000000,0,8fc6d510a04d35fd
transitive,6,0,0.400000,3,10,10,4,2,2,0.571324,0.512044,0.999786,1.000000,0,949b0101ef807b91
transitive,6,1,0.400000,3,10,10,4,5,5,0.631388,0.585094,0.999500,1.000000,0,e744247751831dd6
transitive,6,2,0.400000,3,10,10,4,12,10,0.687236,0.642882,0.999285,1.000000,0,88ba5b19de4cd44f
transitive,6,3,0.400000,3,10,10,4,16,12,0.702414,0.658324,0.999214,1.000000,0,ad18f45fd403a2b3
transitive,6,4,0.400000,3,10,10,4,19,13,0.717658,0.674588,0.999214,1.000000,0,d24563cc1969a488
transitive,6,0,0.800000,1,10,10,8,2,2,0.888839,0.843069,0.999929,1.000000,0,3c03c6a9c77e3f71
transitive,6,1,0.800000,1,10,10,8,6,5,0.916596,0.880300,0.999857,1.000000,0,de59e8b42811a945
transitive,6,2,0.800000,1,10,10,8,14,10,0.949934,0.919900,0.999857,1.000000,0,d1187420ac59337e
transitive,6,3,0.800000,1,10,10,8,18,12,0.956456,0.926667,0.999857,1.000000,0,8f670756cfdb4623
transitive,6,4,0.800000,1,10,10,8,20,13,0.958268,0.928656,0.999857,1.000000,0,6ad4f548f499e391
transitive,6,0,0.800000,2,10,10,8,2,2,0.888839,0.843069,0.999929,1.000000,0,d1aac6a7cecbf5a1
transitive,6,1,0.800000,2,10,10,8,7,5,0.916596,0.877777,0.999857,1.000000,0,e3d7cc2d24dc8e06
transitive,6,2,0.800000,2,10,10,8,18,10,0.949933,0.913810,0.999857,1.000000,0,5f39073f2c7651c6
transitive,6,3,0.800000,2,10,10,8,24,12,0.956455,0.918752,0.999857,1.000000,0,a7e2b1254b7c79d3
